Estacion_Limpia,Frecuencia_Dias_Precipitacion_gt_1mm,Humedad_Relativa_Porcentaje,Nubosidad_Octavos,Precipitacion_mm,Temperatura_C,Temperatura_Maxima_C,Temperatura_Minima_C,Velocidad_Viento_kmh
AEROPARQUE AERO,0,0,0,0,0,0,0,0
AZUL AERO,0,0,0,0,0,0,0,12
BAHÍA BLANCA AERO,0,0,0,0,0,0,0,0
BARILOCHE AERO,0,0,0,0,0,0,0,0
BASE BELGRANO II,12,12,0,12,0,0,0,12
BASE CARLINI (EX JÚBANY),12,7,0,12,0,0,0,12
BASE ESPERANZA,12,9,0,12,0,0,0,12
BASE MARAMBIO,12,10,0,12,0,0,0,12
BASE ORCADAS,12,8,0,12,0,0,0,0
BASE SAN MARTÍN,12,9,0,12,0,0,0,12
BERNARDO DE IRIGOYEN AERO,0,0,0,0,0,0,0,12
BOLÍVAR AERO,0,0,0,0,0,0,0,12
BUENOS AIRES OBSERVATORIO,0,0,0,0,0,0,0,0
CATAMARCA AERO,0,0,0,0,0,0,0,0
CERES AERO,0,0,0,0,0,0,0,12
CHAMICAL AERO,0,0,0,0,0,0,0,0
CHILECITO AERO,5,1,0,5,0,0,0,12
COMODORO RIVADAVIA AERO,0,0,0,0,0,0,0,0
CONCORDIA AERO,0,0,0,0,0,0,0,12
CORONEL PRINGLES AERO,0,0,0,0,0,0,0,0
CORONEL SUÁREZ AERO,1,3,3,1,3,1,1,12
CORRIENTES AERO,0,0,0,0,0,0,0,0
CÓRDOBA AERO,0,0,0,0,0,0,0,0
CÓRDOBA OBSERVATORIO,0,0,0,0,0,0,0,0
DOLORES AERO,0,0,0,0,0,0,0,12
EL BOLSÓN AERO,0,0,0,0,0,0,0,0
EL CALAFATE AERO,0,0,0,0,0,0,0,0
EL PALOMAR AERO,1,0,0,1,0,12,12,0
EL TRÉBOL,0,0,0,0,0,0,0,0
ESQUEL AERO,0,0,0,0,0,0,0,0
EZEIZA AERO,0,0,0,0,0,0,0,0
FORMOSA AERO,0,0,0,0,0,0,0,0
GENERAL PICO AERO,0,0,0,0,0,0,0,12
GOBERNADOR GREGORES AERO,0,2,2,0,2,0,0,12
GUALEGUAYCHÚ AERO,0,0,0,0,0,0,0,0
IGUAZÚ AERO,0,0,0,0,0,0,0,0
JACHAL,0,0,0,0,0,0,0,12
JUJUY AERO,0,0,0,0,0,0,0,0
JUJUY U N,0,0,0,0,0,0,0,0
JUNÍN AERO,0,0,0,0,0,0,0,0
LA PLATA AERO,0,0,0,0,0,0,0,12
LA QUIACA OBSERVATORIO,0,0,0,0,0,0,0,0
LA RIOJA AERO,0,0,0,0,0,0,0,12
